Year,Region,Sex,Age Group,Ethnic Group,Measure,Value,Flags
2018,Bay of Plenty Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1004,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1037,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1124,
2018,Taranaki Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1163,
2018,Taranaki Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1087,
2018,Manawatu-Wanganui Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,906,
2018,Manawatu-Wanganui Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,874,
2018,Wellington Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1352,
2018,Wellington Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,979,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,920,
2018,Canterbury Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1063,
2018,Canterbury Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1025,
2018,Otago Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,1099,
2018,Otago Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,1014,
2018,Southland Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Average Weekly Earnings,949,
2018,Southland Region,Total Both Sexes,30 to 34,Total Ethnic Groups,Median Weekly Earnings,882,
2018,Northland Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,944,
2018,Northland Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,850,
2018,Auckland Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1442,
2018,Auckland Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,1204,
2018,Waikato Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1229,
2018,Waikato Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,1101,
2018,Bay of Plenty Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1056,
2018,Bay of Plenty Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,959,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,968,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,921,
2018,Taranaki Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1289,
2018,Taranaki Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,1055,
2018,Manawatu-Wanganui Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,995,
2018,Manawatu-Wanganui Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,880,
2018,Wellington Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1540,
2018,Wellington Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,1360,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1036,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,938,
2018,Canterbury Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1123,
2018,Canterbury Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,1055,
2018,Otago Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,1161,
2018,Otago Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Southland Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Average Weekly Earnings,922,
2018,Southland Region,Total Both Sexes,35 to 39,Total Ethnic Groups,Median Weekly Earnings,863,
2018,Northland Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1030,
2018,Northland Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,997,
2018,Auckland Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1464,
2018,Auckland Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1160,
2018,Waikato Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1313,
2018,Waikato Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Bay of Plenty Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1225,
2018,Bay of Plenty Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1034,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,997,
2018,Taranaki Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1081,
2018,Taranaki Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1027,
2018,Manawatu-Wanganui Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1191,
2018,Manawatu-Wanganui Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1000,
2018,Wellington Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1548,
2018,Wellington Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1381,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1220,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1055,
2018,Canterbury Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1248,
2018,Canterbury Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Otago Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1262,
2018,Otago Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1132,
2018,Southland Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Average Weekly Earnings,1063,
2018,Southland Region,Total Both Sexes,40 to 44,Total Ethnic Groups,Median Weekly Earnings,1124,
2018,Northland Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1154,
2018,Northland Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1000,
2018,Auckland Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1576,
2018,Auckland Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1247,
2018,Waikato Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1375,
2018,Waikato Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1192,
2018,Bay of Plenty Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1142,
2018,Bay of Plenty Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1036,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1216,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1103,
2018,Taranaki Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1281,
2018,Taranaki Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1055,
2018,Manawatu-Wanganui Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1141,
2018,Manawatu-Wanganui Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1015,
2018,Wellington Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1561,
2018,Wellington Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1343,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1152,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1055,
2018,Canterbury Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1622,
2018,Canterbury Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Otago Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,1160,
2018,Otago Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,1005,
2018,Southland Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Average Weekly Earnings,999,
2018,Southland Region,Total Both Sexes,45 to 49,Total Ethnic Groups,Median Weekly Earnings,997,
2018,Northland Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1672,
2018,Northland Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1343,
2018,Auckland Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1423,
2018,Auckland Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1132,
2018,Waikato Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1454,
2018,Waikato Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1151,
2018,Bay of Plenty Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1260,
2018,Bay of Plenty Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1124,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1302,
2018,Gisborne/Hawkes Bay Regions,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1037,
2018,Taranaki Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1226,
2018,Taranaki Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1207,
2018,Manawatu-Wanganui Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1137,
2018,Manawatu-Wanganui Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,943,
2018,Wellington Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1564,
2018,Wellington Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1298,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1361,
2018,Nelson/Tasman/Marlborough/West Coast Regions,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1124,
2018,Canterbury Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1413,
2018,Canterbury Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,1128,
2018,Otago Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,1255,
2018,Otago Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,961,
2018,Southland Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Average Weekly Earnings,898,
2018,Southland Region,Total Both Sexes,50 to 54,Total Ethnic Groups,Median Weekly Earnings,959,
2018,Northland Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Average Weekly Earnings,1152,
2018,Northland Region,Total Both Sexes,55 to 59,Total Ethnic Groups,Median Weekly Earnings,874,
